Date, Time, Classification
14 Mar 2017, 14:52:47,Initialising
14 Mar 2017, 14:52:47,Pending
14 Mar 2017, 14:52:47,Good
14 Mar 2017, 14:52:47,Pending
14 Mar 2017, 14:52:47,Bad
14 Mar 2017, 14:52:47,Good
14 Mar 2017, 14:52:48,Pending
14 Mar 2017, 14:52:48,Bad
14 Mar 2017, 14:52:48,Good
14 Mar 2017, 14:52:49,Pending
14 Mar 2017, 14:52:49,Good
14 Mar 2017, 14:52:51,Pending
14 Mar 2017, 14:52:51,Bad
14 Mar 2017, 14:52:51,Good
14 Mar 2017, 14:52:55,Pending
14 Mar 2017, 14:52:55,Bad
14 Mar 2017, 14:52:55,Good
14 Mar 2017, 14:53:04,Pending
14 Mar 2017, 14:53:04,Bad
14 Mar 2017, 14:53:04,Good
14 Mar 2017, 14:53:05,Pending
14 Mar 2017, 14:53:05,Bad
14 Mar 2017, 14:53:05,Good
14 Mar 2017, 14:53:05,Pending
14 Mar 2017, 14:53:06,Bad
14 Mar 2017, 14:53:06,Good
14 Mar 2017, 14:53:12,Pending
14 Mar 2017, 14:53:12,Good
14 Mar 2017, 14:53:13,Pending
14 Mar 2017, 14:53:13,Bad
14 Mar 2017, 14:53:14,Good
14 Mar 2017, 14:53:14,Pending
14 Mar 2017, 14:53:14,Bad
14 Mar 2017, 14:53:15,Good
14 Mar 2017, 14:53:15,Pending
14 Mar 2017, 14:53:16,Bad
14 Mar 2017, 14:53:16,Good
14 Mar 2017, 14:53:21,Pending
14 Mar 2017, 14:53:21,Bad
14 Mar 2017, 14:53:24,Good
14 Mar 2017, 14:53:26,Pending
14 Mar 2017, 14:53:26,Bad
14 Mar 2017, 14:53:27,Good
14 Mar 2017, 14:53:28,Pending
14 Mar 2017, 14:53:28,Bad
14 Mar 2017, 14:53:30,Good
14 Mar 2017, 14:53:32,Pending
14 Mar 2017, 14:53:32,Bad
14 Mar 2017, 14:53:34,Good
14 Mar 2017, 14:53:39,Pending
14 Mar 2017, 14:53:39,Bad
14 Mar 2017, 14:53:45,Good
14 Mar 2017, 14:53:48,Pending
14 Mar 2017, 14:53:48,Bad
14 Mar 2017, 14:53:49,Good
14 Mar 2017, 14:53:50,Pending
14 Mar 2017, 14:53:50,Good
14 Mar 2017, 14:53:56,Pending
14 Mar 2017, 14:53:57,Bad
14 Mar 2017, 14:53:58,Good
14 Mar 2017, 14:53:58,Pending
14 Mar 2017, 14:53:58,Bad
14 Mar 2017, 14:53:58,Good
14 Mar 2017, 14:53:59,Pending
14 Mar 2017, 14:53:59,Bad
14 Mar 2017, 14:54:02,Good
14 Mar 2017, 14:54:09,Pending
14 Mar 2017, 14:54:09,Bad
14 Mar 2017, 14:54:10,Good
14 Mar 2017, 14:54:17,Pending
14 Mar 2017, 14:54:17,Bad
14 Mar 2017, 14:54:18,Good
14 Mar 2017, 14:54:25,Pending
14 Mar 2017, 14:54:25,Bad
14 Mar 2017, 14:54:25,Good
14 Mar 2017, 14:54:26,Pending
14 Mar 2017, 14:54:26,Bad
14 Mar 2017, 14:54:30,Good
14 Mar 2017, 14:54:32,Pending
14 Mar 2017, 14:54:32,Bad
14 Mar 2017, 14:54:32,Good
14 Mar 2017, 14:54:39,Pending
14 Mar 2017, 14:54:39,Bad
14 Mar 2017, 14:54:44,Good
14 Mar 2017, 14:55:01,Pending
14 Mar 2017, 14:55:02,Bad
