Date, Time, Classification
13 Mar 2017, 16:11:02,Initialising
13 Mar 2017, 16:11:02,Pending
13 Mar 2017, 16:11:03,Bad
13 Mar 2017, 16:11:05,Good
13 Mar 2017, 16:11:06,Pending
13 Mar 2017, 16:11:06,Bad
13 Mar 2017, 16:11:10,Good
13 Mar 2017, 16:11:10,Pending
13 Mar 2017, 16:11:11,Bad
13 Mar 2017, 16:11:11,Good
13 Mar 2017, 16:11:12,Pending
13 Mar 2017, 16:11:12,Bad
13 Mar 2017, 16:11:12,Good
13 Mar 2017, 16:11:13,Pending
13 Mar 2017, 16:11:13,Bad
13 Mar 2017, 16:11:13,Good
13 Mar 2017, 16:11:14,Pending
13 Mar 2017, 16:11:14,Bad
13 Mar 2017, 16:11:14,Good
13 Mar 2017, 16:11:15,Pending
13 Mar 2017, 16:11:15,Bad
13 Mar 2017, 16:11:15,Good
13 Mar 2017, 16:11:17,Pending
13 Mar 2017, 16:11:17,Bad
13 Mar 2017, 16:11:17,Good
13 Mar 2017, 16:11:17,Pending
13 Mar 2017, 16:11:18,Bad
13 Mar 2017, 16:11:18,Good
13 Mar 2017, 16:11:18,Pending
13 Mar 2017, 16:11:18,Bad
13 Mar 2017, 16:11:18,Good
13 Mar 2017, 16:11:19,Pending
13 Mar 2017, 16:11:19,Bad
13 Mar 2017, 16:11:19,Good
13 Mar 2017, 16:11:20,Pending
13 Mar 2017, 16:11:20,Bad
13 Mar 2017, 16:11:20,Good
13 Mar 2017, 16:11:21,Pending
13 Mar 2017, 16:11:21,Bad
13 Mar 2017, 16:11:21,Good
13 Mar 2017, 16:11:23,Pending
13 Mar 2017, 16:11:23,Bad
13 Mar 2017, 16:11:23,Good
13 Mar 2017, 16:11:25,Pending
13 Mar 2017, 16:11:25,Bad
13 Mar 2017, 16:11:25,Good
13 Mar 2017, 16:11:26,Pending
13 Mar 2017, 16:11:26,Bad
13 Mar 2017, 16:11:26,Good
13 Mar 2017, 16:11:35,Pending
13 Mar 2017, 16:11:35,Bad
13 Mar 2017, 16:11:36,Good
13 Mar 2017, 16:11:36,Pending
13 Mar 2017, 16:11:36,Bad
13 Mar 2017, 16:11:36,Good
13 Mar 2017, 16:11:36,Pending
13 Mar 2017, 16:11:37,Bad
13 Mar 2017, 16:11:37,Good
13 Mar 2017, 16:11:37,Pending
13 Mar 2017, 16:11:37,Bad
13 Mar 2017, 16:11:37,Good
13 Mar 2017, 16:11:38,Pending
13 Mar 2017, 16:11:38,Bad
13 Mar 2017, 16:11:38,Good
13 Mar 2017, 16:11:39,Pending
13 Mar 2017, 16:11:39,Good
13 Mar 2017, 16:11:45,Pending
13 Mar 2017, 16:11:45,Bad
13 Mar 2017, 16:11:46,Good
13 Mar 2017, 16:11:47,Pending
13 Mar 2017, 16:11:47,Bad
13 Mar 2017, 16:11:48,Good
13 Mar 2017, 16:11:49,Pending
13 Mar 2017, 16:11:49,Bad
13 Mar 2017, 16:11:50,Good
13 Mar 2017, 16:11:50,Pending
13 Mar 2017, 16:11:50,Good
13 Mar 2017, 16:11:51,Pending
13 Mar 2017, 16:11:51,Bad
13 Mar 2017, 16:11:51,Good
13 Mar 2017, 16:11:52,Pending
13 Mar 2017, 16:11:52,Good
13 Mar 2017, 16:11:53,Pending
13 Mar 2017, 16:11:53,Bad
13 Mar 2017, 16:11:53,Good
13 Mar 2017, 16:11:53,Pending
13 Mar 2017, 16:11:54,Bad
13 Mar 2017, 16:11:54,Good
13 Mar 2017, 16:11:54,Pending
13 Mar 2017, 16:11:55,Bad
13 Mar 2017, 16:11:55,Good
13 Mar 2017, 16:11:55,Pending
13 Mar 2017, 16:11:55,Bad
13 Mar 2017, 16:11:56,Good
13 Mar 2017, 16:11:57,Pending
13 Mar 2017, 16:11:57,Bad
13 Mar 2017, 16:11:57,Good
13 Mar 2017, 16:11:58,Pending
13 Mar 2017, 16:11:58,Bad
13 Mar 2017, 16:11:58,Good
13 Mar 2017, 16:11:58,Pending
13 Mar 2017, 16:11:59,Bad
