Date, Time, Classification
13 Mar 2017, 16:04:02,Initialising
13 Mar 2017, 16:04:03,Pending
13 Mar 2017, 16:04:03,Pending
13 Mar 2017, 16:04:03,Pending
13 Mar 2017, 16:04:03,Pending
13 Mar 2017, 16:04:03,Pending
13 Mar 2017, 16:04:03,Pending
13 Mar 2017, 16:04:03,Pending
13 Mar 2017, 16:04:03,Pending
13 Mar 2017, 16:04:03,Pending
13 Mar 2017, 16:04:03,Bad
13 Mar 2017, 16:04:03,Bad
13 Mar 2017, 16:04:03,Bad
13 Mar 2017, 16:04:03,Bad
13 Mar 2017, 16:04:03,Bad
13 Mar 2017, 16:04:03,Bad
13 Mar 2017, 16:04:03,Bad
13 Mar 2017, 16:04:03,Bad
13 Mar 2017, 16:04:03,Bad
13 Mar 2017, 16:04:03,Bad
13 Mar 2017, 16:04:03,Bad
13 Mar 2017, 16:04:03,Bad
13 Mar 2017, 16:04:03,Bad
13 Mar 2017, 16:04:03,Bad
13 Mar 2017, 16:04:03,Bad
13 Mar 2017, 16:04:03,Bad
13 Mar 2017, 16:04:03,Bad
13 Mar 2017, 16:04:03,Bad
13 Mar 2017, 16:04:03,Bad
13 Mar 2017, 16:04:03,Bad
13 Mar 2017, 16:04:03,Bad
13 Mar 2017, 16:04:03,Bad
13 Mar 2017, 16:04:03,Bad
13 Mar 2017, 16:04:03,Bad
13 Mar 2017, 16:04:03,Bad
13 Mar 2017, 16:04:03,Bad
13 Mar 2017, 16:04:03,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:04,Bad
13 Mar 2017, 16:04:05,Bad
13 Mar 2017, 16:04:05,Bad
13 Mar 2017, 16:04:05,Bad
