Connecting...
Enable Sensors (Acc, IR Temp)
Timestamp,X,Y,Z,Objtemp,AmbientTemp
2017:02:03:16:23:56:769,0,0,1,0,0
2017:02:03:16:23:56:771,0,0,1,0,0
2017:02:03:16:23:57:762,0.1,0,1.1,21.2,26.6
2017:02:03:16:23:57:762,0.1,0,1.1,21.2,26.6
2017:02:03:16:23:57:762,0.1,0,1.1,21.2,26.6
2017:02:03:16:23:57:762,0.1,0,1.1,21.2,26.6
2017:02:03:16:23:58:755,0,0,1,21.2,26.6
2017:02:03:16:23:58:755,0,0,1,21.2,26.6
2017:02:03:16:23:58:755,0,0,1,21.2,26.6
2017:02:03:16:23:58:755,0,0,1,21.2,26.6
2017:02:03:16:23:59:948,0,0,1.1,21.2,26.6
2017:02:03:16:23:59:948,0,0,1.1,21.2,26.6
2017:02:03:16:23:59:948,0,0,1.1,21.2,26.6
2017:02:03:16:23:59:948,0,0,1.1,21.2,26.6
2017:02:03:16:24:00:743,0.1,0,1,21.2,26.6
2017:02:03:16:24:00:743,0.1,0,1,21.2,26.6
2017:02:03:16:24:00:743,0.1,0,1,21.2,26.6
2017:02:03:16:24:00:743,0.1,0,1,21.2,26.6
2017:02:03:16:24:01:737,0,-0.1,1,21.3,26.6
2017:02:03:16:24:01:737,0,-0.1,1,21.3,26.6
2017:02:03:16:24:01:737,0,-0.1,1,21.3,26.6
2017:02:03:16:24:01:737,0,-0.1,1,21.3,26.6
2017:02:03:16:24:02:730,0.1,0,1,21.3,26.6
2017:02:03:16:24:02:730,0.1,0,1,21.3,26.6
2017:02:03:16:24:02:730,0.1,0,1,21.3,26.6
2017:02:03:16:24:02:730,0.1,0,1,21.3,26.6
2017:02:03:16:24:03:724,0,0,1,21.5,26.6
2017:02:03:16:24:03:724,0,0,1,21.5,26.6
2017:02:03:16:24:03:724,0,0,1,21.5,26.6
2017:02:03:16:24:03:724,0,0,1,21.5,26.6
2017:02:03:16:24:04:917,0,0,1,21.3,26.6
2017:02:03:16:24:04:917,0,0,1,21.3,26.6
2017:02:03:16:24:04:917,0,0,1,21.3,26.6
2017:02:03:16:24:04:917,0,0,1,21.3,26.6
2017:02:03:16:24:05:910,0,0,1,21.2,26.6
2017:02:03:16:24:05:910,0,0,1,21.2,26.6
2017:02:03:16:24:05:910,0,0,1,21.2,26.6
2017:02:03:16:24:05:911,0,0,1,21.2,26.6
2017:02:03:16:24:06:905,0,0,1.1,21.5,26.6
2017:02:03:16:24:06:905,0,0,1.1,21.5,26.6
2017:02:03:16:24:06:905,0,0,1.1,21.5,26.6
2017:02:03:16:24:06:905,0,0,1.1,21.5,26.6
