Timestamp,AccelX,AccelY,AccelZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ
20170209165141507,-0.9,0,0,0,0,0,0,0,0
20170209165141509,-0.9,0,0,0,0,0,0,0,0
20170209165141509,-0.9,0,0,0,0,0,0,0,0
20170209165141509,-0.9,0,0,0,0,0,0,0,0
20170209165141509,-0.9,0,0,0,0,0,0,0,0
20170209165141509,-0.9,0,0,0,0,0,0,0,0
20170209165141509,-0.9,0,0,0,0,0,0,0,0
20170209165141510,-0.9,0,0,0,0,0,0,0,0
20170209165141510,-0.9,0,0,0,0,0,0,0,0
20170209165142500,-1.1,0,0,2.2,-39.7,-75.7,-2.1,-0.9,-2.4
20170209165142500,-1.1,0,0,2.2,-39.7,-75.7,-2.1,-0.9,-2.4
20170209165142500,-1.1,0,0,2.2,-39.7,-75.7,-2.1,-0.9,-2.4
20170209165142500,-1.1,0,0,2.2,-39.7,-75.7,-2.1,-0.9,-2.4
20170209165142500,-1.1,0,0,2.2,-39.7,-75.7,-2.1,-0.9,-2.4
20170209165142500,-1.1,0,0,2.2,-39.7,-75.7,-2.1,-0.9,-2.4
20170209165142500,-1.1,0,0,2.2,-39.7,-75.7,-2.1,-0.9,-2.4
20170209165142500,-1.1,0,0,2.2,-39.7,-75.7,-2.1,-0.9,-2.4
20170209165142500,-1.1,0,0,2.2,-39.7,-75.7,-2.1,-0.9,-2.4
20170209165143493,-1,0,0,3.9,-38.4,-74.1,-1.6,-2.2,-3.5
20170209165143494,-1,0,0,3.9,-38.4,-74.1,-1.6,-2.2,-3.5
20170209165143494,-1,0,0,3.9,-38.4,-74.1,-1.6,-2.2,-3.5
20170209165143494,-1,0,0,3.9,-38.4,-74.1,-1.6,-2.2,-3.5
20170209165143494,-1,0,0,3.9,-38.4,-74.1,-1.6,-2.2,-3.5
20170209165143494,-1,0,0,3.9,-38.4,-74.1,-1.6,-2.2,-3.5
20170209165143494,-1,0,0,3.9,-38.4,-74.1,-1.6,-2.2,-3.5
20170209165143494,-1,0,0,3.9,-38.4,-74.1,-1.6,-2.2,-3.5
20170209165143494,-1,0,0,3.9,-38.4,-74.1,-1.6,-2.2,-3.5
20170209165144487,-1,0,0,4.2,-38.4,-75.6,-1.6,-2.6,-3.2
20170209165144487,-1,0,0,4.2,-38.4,-75.6,-1.6,-2.6,-3.2
20170209165144487,-1,0,0,4.2,-38.4,-75.6,-1.6,-2.6,-3.2
20170209165144487,-1,0,0,4.2,-38.4,-75.6,-1.6,-2.6,-3.2
20170209165144487,-1,0,0,4.2,-38.4,-75.6,-1.6,-2.6,-3.2
20170209165144487,-1,0,0,4.2,-38.4,-75.6,-1.6,-2.6,-3.2
20170209165144487,-1,0,0,4.2,-38.4,-75.6,-1.6,-2.6,-3.2
20170209165144487,-1,0,0,4.2,-38.4,-75.6,-1.6,-2.6,-3.2
20170209165144487,-1,0,0,4.2,-38.4,-75.6,-1.6,-2.6,-3.2
20170209165145481,-0.8,0.1,-0.4,3.9,-38.8,-75.6,-2.1,-3,-2.9
20170209165145481,-0.8,0.1,-0.4,3.9,-38.8,-75.6,-2.1,-3,-2.9
20170209165145481,-0.8,0.1,-0.4,3.9,-38.8,-75.6,-2.1,-3,-2.9
20170209165145481,-0.8,0.1,-0.4,3.9,-38.8,-75.6,-2.1,-3,-2.9
20170209165145481,-0.8,0.1,-0.4,3.9,-38.8,-75.6,-2.1,-3,-2.9
20170209165145481,-0.8,0.1,-0.4,3.9,-38.8,-75.6,-2.1,-3,-2.9
20170209165145481,-0.8,0.1,-0.4,3.9,-38.8,-75.6,-2.1,-3,-2.9
20170209165145481,-0.8,0.1,-0.4,3.9,-38.8,-75.6,-2.1,-3,-2.9
20170209165145481,-0.8,0.1,-0.4,3.9,-38.8,-75.6,-2.1,-3,-2.9
20170209165146475,0,0.3,-1.1,4.3,-39.3,-74.7,-60.9,214.9,-35.6
20170209165146475,0,0.3,-1.1,4.3,-39.3,-74.7,-60.9,214.9,-35.6
20170209165146475,0,0.3,-1.1,4.3,-39.3,-74.7,-60.9,214.9,-35.6
20170209165146475,0,0.3,-1.1,4.3,-39.3,-74.7,-60.9,214.9,-35.6
20170209165146475,0,0.3,-1.1,4.3,-39.3,-74.7,-60.9,214.9,-35.6
20170209165146475,0,0.3,-1.1,4.3,-39.3,-74.7,-60.9,214.9,-35.6
20170209165146475,0,0.3,-1.1,4.3,-39.3,-74.7,-60.9,214.9,-35.6
20170209165146476,0,0.3,-1.1,4.3,-39.3,-74.7,-60.9,214.9,-35.6
20170209165146476,0,0.3,-1.1,4.3,-39.3,-74.7,-60.9,214.9,-35.6
20170209165147469,0,0,-1,4.9,-44.5,-97.6,-39,-89.8,-15.6
20170209165147469,0,0,-1,4.9,-44.5,-97.6,-39,-89.8,-15.6
20170209165147469,0,0,-1,4.9,-44.5,-97.6,-39,-89.8,-15.6
20170209165147469,0,0,-1,4.9,-44.5,-97.6,-39,-89.8,-15.6
20170209165147469,0,0,-1,4.9,-44.5,-97.6,-39,-89.8,-15.6
20170209165147469,0,0,-1,4.9,-44.5,-97.6,-39,-89.8,-15.6
20170209165147469,0,0,-1,4.9,-44.5,-97.6,-39,-89.8,-15.6
20170209165147469,0,0,-1,4.9,-44.5,-97.6,-39,-89.8,-15.6
20170209165147470,0,0,-1,4.9,-44.5,-97.6,-39,-89.8,-15.6
20170209165148463,0,0,-1,4,-65.5,-113.2,-1.3,-3.4,-3
20170209165148463,0,0,-1,4,-65.5,-113.2,-1.3,-3.4,-3
20170209165148463,0,0,-1,4,-65.5,-113.2,-1.3,-3.4,-3
20170209165148463,0,0,-1,4,-65.5,-113.2,-1.3,-3.4,-3
20170209165148463,0,0,-1,4,-65.5,-113.2,-1.3,-3.4,-3
20170209165148463,0,0,-1,4,-65.5,-113.2,-1.3,-3.4,-3
20170209165148463,0,0,-1,4,-65.5,-113.2,-1.3,-3.4,-3
20170209165148463,0,0,-1,4,-65.5,-113.2,-1.3,-3.4,-3
20170209165148463,0,0,-1,4,-65.5,-113.2,-1.3,-3.4,-3
20170209165149456,0.1,0,-1,5.1,-65.5,-111.8,-1,-3.2,-5.6
20170209165149456,0.1,0,-1,5.1,-65.5,-111.8,-1,-3.2,-5.6
20170209165149456,0.1,0,-1,5.1,-65.5,-111.8,-1,-3.2,-5.6
20170209165149456,0.1,0,-1,5.1,-65.5,-111.8,-1,-3.2,-5.6
20170209165149456,0.1,0,-1,5.1,-65.5,-111.8,-1,-3.2,-5.6
20170209165149456,0.1,0,-1,5.1,-65.5,-111.8,-1,-3.2,-5.6
20170209165149456,0.1,0,-1,5.1,-65.5,-111.8,-1,-3.2,-5.6
20170209165149456,0.1,0,-1,5.1,-65.5,-111.8,-1,-3.2,-5.6
20170209165149456,0.1,0,-1,5.1,-65.5,-111.8,-1,-3.2,-5.6
20170209165150450,-0.1,0,-1,5.2,-67.2,-112.7,-0.5,-4.9,-4.6
20170209165150450,-0.1,0,-1,5.2,-67.2,-112.7,-0.5,-4.9,-4.6
20170209165150450,-0.1,0,-1,5.2,-67.2,-112.7,-0.5,-4.9,-4.6
20170209165150450,-0.1,0,-1,5.2,-67.2,-112.7,-0.5,-4.9,-4.6
20170209165150450,-0.1,0,-1,5.2,-67.2,-112.7,-0.5,-4.9,-4.6
20170209165150450,-0.1,0,-1,5.2,-67.2,-112.7,-0.5,-4.9,-4.6
20170209165150450,-0.1,0,-1,5.2,-67.2,-112.7,-0.5,-4.9,-4.6
20170209165150450,-0.1,0,-1,5.2,-67.2,-112.7,-0.5,-4.9,-4.6
20170209165150450,-0.1,0,-1,5.2,-67.2,-112.7,-0.5,-4.9,-4.6
20170209165151445,0,0,-1,5.4,-67.3,-112.9,0.3,-0.7,-4.8
20170209165151445,0,0,-1,5.4,-67.3,-112.9,0.3,-0.7,-4.8
20170209165151445,0,0,-1,5.4,-67.3,-112.9,0.3,-0.7,-4.8
20170209165151445,0,0,-1,5.4,-67.3,-112.9,0.3,-0.7,-4.8
20170209165151445,0,0,-1,5.4,-67.3,-112.9,0.3,-0.7,-4.8
20170209165151445,0,0,-1,5.4,-67.3,-112.9,0.3,-0.7,-4.8
20170209165151445,0,0,-1,5.4,-67.3,-112.9,0.3,-0.7,-4.8
20170209165151445,0,0,-1,5.4,-67.3,-112.9,0.3,-0.7,-4.8
20170209165151445,0,0,-1,5.4,-67.3,-112.9,0.3,-0.7,-4.8
20170209165152439,0,0.1,-1,4.8,-67.6,-111.1,0.5,-3.1,-2.3
20170209165152439,0,0.1,-1,4.8,-67.6,-111.1,0.5,-3.1,-2.3
20170209165152440,0,0.1,-1,4.8,-67.6,-111.1,0.5,-3.1,-2.3
20170209165152440,0,0.1,-1,4.8,-67.6,-111.1,0.5,-3.1,-2.3
20170209165152440,0,0.1,-1,4.8,-67.6,-111.1,0.5,-3.1,-2.3
20170209165152440,0,0.1,-1,4.8,-67.6,-111.1,0.5,-3.1,-2.3
20170209165152440,0,0.1,-1,4.8,-67.6,-111.1,0.5,-3.1,-2.3
20170209165152440,0,0.1,-1,4.8,-67.6,-111.1,0.5,-3.1,-2.3
20170209165152440,0,0.1,-1,4.8,-67.6,-111.1,0.5,-3.1,-2.3
20170209165153432,0,0,-1.1,4.3,-68.1,-112.9,-1.4,-3.3,-1.7
20170209165153432,0,0,-1.1,4.3,-68.1,-112.9,-1.4,-3.3,-1.7
20170209165153432,0,0,-1.1,4.3,-68.1,-112.9,-1.4,-3.3,-1.7
20170209165153432,0,0,-1.1,4.3,-68.1,-112.9,-1.4,-3.3,-1.7
20170209165153432,0,0,-1.1,4.3,-68.1,-112.9,-1.4,-3.3,-1.7
20170209165153432,0,0,-1.1,4.3,-68.1,-112.9,-1.4,-3.3,-1.7
20170209165153432,0,0,-1.1,4.3,-68.1,-112.9,-1.4,-3.3,-1.7
20170209165153432,0,0,-1.1,4.3,-68.1,-112.9,-1.4,-3.3,-1.7
20170209165153432,0,0,-1.1,4.3,-68.1,-112.9,-1.4,-3.3,-1.7
20170209165154425,0,0,-1,4.3,-67.6,-109.4,0.1,-2.8,-4.5
20170209165154425,0,0,-1,4.3,-67.6,-109.4,0.1,-2.8,-4.5
20170209165154425,0,0,-1,4.3,-67.6,-109.4,0.1,-2.8,-4.5
20170209165154425,0,0,-1,4.3,-67.6,-109.4,0.1,-2.8,-4.5
20170209165154425,0,0,-1,4.3,-67.6,-109.4,0.1,-2.8,-4.5
20170209165154425,0,0,-1,4.3,-67.6,-109.4,0.1,-2.8,-4.5
20170209165154425,0,0,-1,4.3,-67.6,-109.4,0.1,-2.8,-4.5
20170209165154425,0,0,-1,4.3,-67.6,-109.4,0.1,-2.8,-4.5
20170209165154425,0,0,-1,4.3,-67.6,-109.4,0.1,-2.8,-4.5
20170209165155419,0,0,-1,5.1,-67.6,-110,-2.2,-2.7,-5
20170209165155419,0,0,-1,5.1,-67.6,-110,-2.2,-2.7,-5
20170209165155420,0,0,-1,5.1,-67.6,-110,-2.2,-2.7,-5
20170209165155420,0,0,-1,5.1,-67.6,-110,-2.2,-2.7,-5
20170209165155421,0,0,-1,5.1,-67.6,-110,-2.2,-2.7,-5
20170209165155429,0,0,-1,5.1,-67.6,-110,-2.2,-2.7,-5
20170209165155429,0,0,-1,5.1,-67.6,-110,-2.2,-2.7,-5
20170209165155429,0,0,-1,5.1,-67.6,-110,-2.2,-2.7,-5
20170209165155429,0,0,-1,5.1,-67.6,-110,-2.2,-2.7,-5
20170209165156412,0,0,-1,5.4,-68.1,-111.5,-2.1,-1.8,-2.9
20170209165156412,0,0,-1,5.4,-68.1,-111.5,-2.1,-1.8,-2.9
20170209165156412,0,0,-1,5.4,-68.1,-111.5,-2.1,-1.8,-2.9
20170209165156413,0,0,-1,5.4,-68.1,-111.5,-2.1,-1.8,-2.9
20170209165156413,0,0,-1,5.4,-68.1,-111.5,-2.1,-1.8,-2.9
20170209165156413,0,0,-1,5.4,-68.1,-111.5,-2.1,-1.8,-2.9
20170209165156413,0,0,-1,5.4,-68.1,-111.5,-2.1,-1.8,-2.9
20170209165156413,0,0,-1,5.4,-68.1,-111.5,-2.1,-1.8,-2.9
20170209165156413,0,0,-1,5.4,-68.1,-111.5,-2.1,-1.8,-2.9
