Connecting...
Enable Sensors (Acc, Mag)
Timestamp,X,Y,Z,MagX,MagY,MagZ
2017:02:03:16:42:24:858,-1.1,0,0.1,0,0,0
2017:02:03:16:42:24:860,-1.1,0,0.1,0,0,0
2017:02:03:16:42:24:860,-1.1,0,0.1,0,0,0
2017:02:03:16:42:24:860,-1.1,0,0.1,0,0,0
2017:02:03:16:42:25:850,-1,-0.1,0,4.8,-23.2,-38.5
2017:02:03:16:42:25:850,-1,-0.1,0,4.8,-23.2,-38.5
2017:02:03:16:42:25:850,-1,-0.1,0,4.8,-23.2,-38.5
2017:02:03:16:42:25:850,-1,-0.1,0,4.8,-23.2,-38.5
2017:02:03:16:42:26:844,-0.9,0,0,6.1,-21.7,-38.5
2017:02:03:16:42:26:844,-0.9,0,0,6.1,-21.7,-38.5
2017:02:03:16:42:26:844,-0.9,0,0,6.1,-21.7,-38.5
2017:02:03:16:42:26:844,-0.9,0,0,6.1,-21.7,-38.5
2017:02:03:16:42:27:837,-1,0,0,6,-20.5,-37.6
2017:02:03:16:42:27:837,-1,0,0,6,-20.5,-37.6
2017:02:03:16:42:27:838,-1,0,0,6,-20.5,-37.6
2017:02:03:16:42:27:838,-1,0,0,6,-20.5,-37.6
2017:02:03:16:42:28:831,-1,0,0,4.8,-20.7,-38.1
2017:02:03:16:42:28:831,-1,0,0,4.8,-20.7,-38.1
2017:02:03:16:42:28:831,-1,0,0,4.8,-20.7,-38.1
2017:02:03:16:42:28:831,-1,0,0,4.8,-20.7,-38.1
2017:02:03:16:42:29:825,-0.9,0.1,0,4.5,-19.8,-37.9
2017:02:03:16:42:29:825,-0.9,0.1,0,4.5,-19.8,-37.9
2017:02:03:16:42:29:825,-0.9,0.1,0,4.5,-19.8,-37.9
2017:02:03:16:42:29:825,-0.9,0.1,0,4.5,-19.8,-37.9
2017:02:03:16:42:30:819,-1,-0.1,0,4.9,-19.8,-37.9
2017:02:03:16:42:30:819,-1,-0.1,0,4.9,-19.8,-37.9
2017:02:03:16:42:30:819,-1,-0.1,0,4.9,-19.8,-37.9
2017:02:03:16:42:30:819,-1,-0.1,0,4.9,-19.8,-37.9
2017:02:03:16:42:31:812,0,-0.1,1,5.7,-19.8,-39.3
2017:02:03:16:42:31:813,0,-0.1,1,5.7,-19.8,-39.3
2017:02:03:16:42:31:813,0,-0.1,1,5.7,-19.8,-39.3
2017:02:03:16:42:31:813,0,-0.1,1,5.7,-19.8,-39.3
2017:02:03:16:42:32:806,0,-0.1,1.1,4.8,-21.4,-39.4
2017:02:03:16:42:32:806,0,-0.1,1.1,4.8,-21.4,-39.4
2017:02:03:16:42:32:806,0,-0.1,1.1,4.8,-21.4,-39.4
2017:02:03:16:42:32:807,0,-0.1,1.1,4.8,-21.4,-39.4
2017:02:03:16:42:33:999,0,0.1,1,13.5,-31.6,43
2017:02:03:16:42:33:999,0,0.1,1,13.5,-31.6,43
2017:02:03:16:42:33:999,0,0.1,1,13.5,-31.6,43
2017:02:03:16:42:33:999,0,0.1,1,13.5,-31.6,43
2017:02:03:16:42:34:993,0,0,1,12.6,-32.5,43.8
2017:02:03:16:42:34:993,0,0,1,12.6,-32.5,43.8
2017:02:03:16:42:34:993,0,0,1,12.6,-32.5,43.8
2017:02:03:16:42:34:993,0,0,1,12.6,-32.5,43.8
2017:02:03:16:42:35:986,0,0,1,13.5,-31.2,43.3
2017:02:03:16:42:35:986,0,0,1,13.5,-31.2,43.3
2017:02:03:16:42:35:986,0,0,1,13.5,-31.2,43.3
2017:02:03:16:42:35:986,0,0,1,13.5,-31.2,43.3
2017:02:03:16:42:36:980,0.1,0,1.1,10.8,-30.4,43.5
2017:02:03:16:42:36:980,0.1,0,1.1,10.8,-30.4,43.5
2017:02:03:16:42:36:980,0.1,0,1.1,10.8,-30.4,43.5
2017:02:03:16:42:36:980,0.1,0,1.1,10.8,-30.4,43.5
2017:02:03:16:42:37:974,0,-0.1,1,12.7,-30.1,43.6
2017:02:03:16:42:37:974,0,-0.1,1,12.7,-30.1,43.6
2017:02:03:16:42:37:974,0,-0.1,1,12.7,-30.1,43.6
2017:02:03:16:42:37:974,0,-0.1,1,12.7,-30.1,43.6
2017:02:03:16:42:38:968,0,0,1,11.7,-31.2,43.3
2017:02:03:16:42:38:968,0,0,1,11.7,-31.2,43.3
2017:02:03:16:42:38:968,0,0,1,11.7,-31.2,43.3
2017:02:03:16:42:38:968,0,0,1,11.7,-31.2,43.3
2017:02:03:16:42:39:962,0.1,0,1,11.7,-32.7,44.1
2017:02:03:16:42:39:962,0.1,0,1,11.7,-32.7,44.1
2017:02:03:16:42:39:962,0.1,0,1,11.7,-32.7,44.1
2017:02:03:16:42:39:962,0.1,0,1,11.7,-32.7,44.1
2017:02:03:16:42:40:955,0.1,0,1,12.7,-30.9,44.1
2017:02:03:16:42:40:956,0.1,0,1,12.7,-30.9,44.1
2017:02:03:16:42:40:956,0.1,0,1,12.7,-30.9,44.1
2017:02:03:16:42:40:956,0.1,0,1,12.7,-30.9,44.1
2017:02:03:16:42:41:952,0.1,0,1,11.7,-31.9,43.3
2017:02:03:16:42:41:952,0.1,0,1,11.7,-31.9,43.3
2017:02:03:16:42:41:953,0.1,0,1,11.7,-31.9,43.3
2017:02:03:16:42:41:953,0.1,0,1,11.7,-31.9,43.3
2017:02:03:16:42:42:944,0,0,1,12.9,-30.7,43.2
2017:02:03:16:42:42:944,0,0,1,12.9,-30.7,43.2
2017:02:03:16:42:42:944,0,0,1,12.9,-30.7,43.2
2017:02:03:16:42:42:944,0,0,1,12.9,-30.7,43.2
2017:02:03:16:42:43:936,-0.8,0.1,0.4,11.1,-31.5,45.3
2017:02:03:16:42:43:936,-0.8,0.1,0.4,11.1,-31.5,45.3
2017:02:03:16:42:43:937,-0.8,0.1,0.4,11.1,-31.5,45.3
2017:02:03:16:42:43:937,-0.8,0.1,0.4,11.1,-31.5,45.3
2017:02:03:16:42:44:930,-0.9,0,0.1,10.9,-29.8,44.1
2017:02:03:16:42:44:930,-0.9,0,0.1,10.9,-29.8,44.1
2017:02:03:16:42:44:930,-0.9,0,0.1,10.9,-29.8,44.1
2017:02:03:16:42:44:930,-0.9,0,0.1,10.9,-29.8,44.1
2017:02:03:16:42:45:924,-1,0.1,0,6.3,-16.5,-16.9
2017:02:03:16:42:45:924,-1,0.1,0,6.3,-16.5,-16.9
2017:02:03:16:42:45:924,-1,0.1,0,6.3,-16.5,-16.9
2017:02:03:16:42:45:924,-1,0.1,0,6.3,-16.5,-16.9
2017:02:03:16:42:46:918,-1,0.1,0,4.5,-22.6,-37.9
2017:02:03:16:42:46:919,-1,0.1,0,4.5,-22.6,-37.9
2017:02:03:16:42:46:919,-1,0.1,0,4.5,-22.6,-37.9
2017:02:03:16:42:46:919,-1,0.1,0,4.5,-22.6,-37.9
