Connecting...
Enable Sensors (Acc, Mag, Gyro)
Timestamp,X,Y,Z,MagX,MagY,MagZ,GyroX,GyroY,GyroZ
2017:02:03:16:52:53:911,0,0,1.1,0,0,0,0,0,0
2017:02:03:16:52:53:913,0,0,1.1,0,0,0,0,0,0
2017:02:03:16:52:53:913,0,0,1.1,0,0,0,0,0,0
2017:02:03:16:52:53:913,0,0,1.1,0,0,0,0,0,0
2017:02:03:16:52:53:913,0,0,1.1,0,0,0,0,0,0
2017:02:03:16:52:53:913,0,0,1.1,0,0,0,0,0,0
2017:02:03:16:52:53:913,0,0,1.1,0,0,0,0,0,0
2017:02:03:16:52:53:913,0,0,1.1,0,0,0,0,0,0
2017:02:03:16:52:53:913,0,0,1.1,0,0,0,0,0,0
2017:02:03:16:52:54:904,0,-0.1,1,6,-15.1,-39.7,-4.4,-3.6,-0.2
2017:02:03:16:52:54:904,0,-0.1,1,6,-15.1,-39.7,-4.4,-3.6,-0.2
2017:02:03:16:52:54:904,0,-0.1,1,6,-15.1,-39.7,-4.4,-3.6,-0.2
2017:02:03:16:52:54:904,0,-0.1,1,6,-15.1,-39.7,-4.4,-3.6,-0.2
2017:02:03:16:52:54:904,0,-0.1,1,6,-15.1,-39.7,-4.4,-3.6,-0.2
2017:02:03:16:52:54:904,0,-0.1,1,6,-15.1,-39.7,-4.4,-3.6,-0.2
2017:02:03:16:52:54:904,0,-0.1,1,6,-15.1,-39.7,-4.4,-3.6,-0.2
2017:02:03:16:52:54:904,0,-0.1,1,6,-15.1,-39.7,-4.4,-3.6,-0.2
2017:02:03:16:52:54:904,0,-0.1,1,6,-15.1,-39.7,-4.4,-3.6,-0.2
2017:02:03:16:52:55:897,0,-0.1,1.1,9.6,-27.7,45.7,-9.1,-5.6,-3.4
2017:02:03:16:52:55:897,0,-0.1,1.1,9.6,-27.7,45.7,-9.1,-5.6,-3.4
2017:02:03:16:52:55:897,0,-0.1,1.1,9.6,-27.7,45.7,-9.1,-5.6,-3.4
2017:02:03:16:52:55:897,0,-0.1,1.1,9.6,-27.7,45.7,-9.1,-5.6,-3.4
2017:02:03:16:52:55:897,0,-0.1,1.1,9.6,-27.7,45.7,-9.1,-5.6,-3.4
